CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"6,415",-112,222,-,"2,030.00",-181.75,75,"2,027.20","2,041.20",150,"13,000.00","1,575",8.00,8.80,75,-0.75,8.60,39.26,"21,845","-3,113","19,877",
,-,-,-,-,-,-,"3,375","1,902.85","2,176.00","3,375","13,050.00",225,8.85,9.75,300,-,8.85,38.56,122,2,30,
,101,-1,1,83.40,"2,200.05",90.05,375,"1,921.15","1,949.10",150,"13,100.00",150,8.60,10.00,75,0.20,9.90,38.38,"2,436",-104,"1,470",
,1,-,-,-,975.75,-,"3,375","1,761.40","2,194.90","3,375","13,150.00",300,8.20,-,-,-0.50,9.35,37.15,164,-21,58,
,144,-6,9,-,"1,844.90",-108.10,75,"1,817.55","1,857.40",75,"13,200.00",150,7.15,12.90,75,0.25,10.00,36.68,"5,393",-250,"1,761",
,1,-,-,-,868.40,-,"3,375","1,665.70","1,945.65","3,375","13,250.00",75,8.00,14.65,75,-,10.00,35.80,294,-23,50,
,137,-,16,-,"1,740.00",-149.70,75,"1,718.25","1,735.00",75,"13,300.00",300,7.05,-,-,0.70,10.90,35.43,"9,821","-1,934","2,593",
,1,-,-,-,788.60,-,"3,375","1,596.35","1,795.75","4,875","13,350.00","2,250",4.10,17.00,750,1.30,11.00,34.60,737,-12,54,
,56,-1,3,-,"1,642.80",-122.60,150,"1,625.85","1,656.85",150,"13,400.00",75,11.00,16.90,"1,125",1.00,11.35,33.89,"11,155","-2,188","3,401",
,-,-,-,-,"1,777.35",-,"4,875","1,481.50","1,725.05","8,250","13,450.00",75,5.40,14.65,750,2.25,12.95,33.78,"1,418",-77,128,
,"4,890",-129,205,-,"1,551.00",-163.70,150,"1,531.25","1,555.40",75,"13,500.00","8,775",12.75,12.90,150,1.50,12.75,32.78,"28,423","-6,276","24,400",
,2,-,-,-,"1,360.80",-,75,"1,464.40","1,518.85",75,"13,550.00","2,250",4.30,18.60,225,2.60,14.05,32.45,"1,301",-26,61,
,195,-7,16,-,"1,453.20",-96.80,75,"1,426.75","1,461.10",75,"13,600.00","1,350",13.05,17.00,"4,500",3.20,14.65,31.79,"7,441",-748,"6,148",
,2,-,-,-,"1,180.00",-,75,"1,367.90","1,431.00",75,"13,650.00",75,15.45,21.60,750,2.50,15.45,31.18,280,-8,74,
,272,-16,41,-,"1,341.00",-195.00,150,"1,336.80","1,357.55",150,"13,700.00",225,17.25,18.50,150,4.35,17.25,30.92,"8,809",476,"7,672",
,5,-,-,-,"1,094.35",-,"1,575","1,256.45","1,351.60","3,375","13,750.00","3,000",15.30,24.80,450,5.20,19.05,30.59,"3,236",-23,311,
,523,-9,19,-,"1,261.45",-158.55,75,"1,238.00","1,263.95",75,"13,800.00",150,20.50,23.80,150,5.20,20.25,30.02,"15,224","-1,669","8,597",
,7,-,-,-,"1,267.45",-,75,"1,180.30","1,228.05",150,"13,850.00",300,15.10,25.20,75,5.90,22.40,29.69,"1,174",-64,273,
,188,-14,20,-,"1,160.95",-165.30,75,"1,144.00","1,163.10",150,"13,900.00",75,24.50,26.00,75,7.30,25.60,29.59,"13,505",-583,"13,278",
,3,-,-,-,"1,229.70",-,"3,375","1,008.20","1,135.80",75,"13,950.00",75,27.05,32.25,750,7.35,28.20,29.25,"1,638",-44,174,
,"7,233",-186,663,-,"1,063.50",-162.15,75,"1,051.35","1,068.90",75,"14,000.00",75,31.15,32.00,525,8.55,32.00,29.12,"63,021",306,"37,508",
,7,1,1,21.09,"1,039.45",-101.80,150,"1,004.10","1,040.90",225,"14,050.00",150,35.40,48.55,"4,875",10.00,35.40,28.81,"2,114",-36,275,
,171,2,17,17.03,984.10,-87.65,75,953.35,"1,001.50",75,"14,100.00",75,38.10,49.75,75,12.00,40.00,28.68,"14,886",-139,"10,820",
,24,-,4,-,929.90,-118.00,75,899.60,947.90,75,"14,150.00","4,875",30.40,53.10,375,12.20,43.60,28.26,"2,894",143,600,
,491,10,67,16.35,885.70,-140.30,75,870.95,884.05,375,"14,200.00",300,49.35,49.50,75,14.45,49.35,28.15,"27,069",887,"14,328",
,88,-,5,18.57,842.85,0.10,75,820.70,852.40,75,"14,250.00",75,51.00,65.40,450,15.55,54.25,27.81,"1,834",84,465,
,"1,296",-13,42,19.65,800.00,-146.40,75,779.45,793.90,75,"14,300.00",225,58.80,61.90,150,16.30,58.80,27.34,"20,951",703,"18,436",
,73,-,-,-,771.30,-,375,730.40,754.60,300,"14,350.00",75,60.00,67.20,75,19.20,67.30,27.38,"1,535",-53,537,
,545,-10,81,19.18,707.25,-153.20,75,693.00,709.70,75,"14,400.00",75,73.25,74.00,75,21.60,74.00,27.06,"21,071",-133,"9,001",
,117,1,5,20.56,670.90,-172.15,75,652.00,676.25,150,"14,450.00",150,81.25,90.65,"1,125",31.65,90.60,27.92,"2,320",49,412,
,"6,776",-47,"1,452",19.86,623.95,-149.50,600,615.30,623.95,150,"14,500.00",75,91.05,91.90,150,27.30,92.00,26.73,"67,263","-1,421","33,290",
,147,-4,10,20.99,590.25,-129.35,600,559.25,589.30,300,"14,550.00",150,88.00,101.55,75,28.15,99.00,26.19,"3,969",525,"1,109",
,"1,628",-52,363,19.92,542.00,-144.40,75,540.00,549.35,375,"14,600.00",750,108.05,111.00,750,31.60,109.75,25.99,"21,453",628,"11,948",
,381,1,31,21.14,512.90,-126.10,75,498.00,514.60,75,"14,650.00","4,800",101.70,123.45,75,14.80,101.70,23.63,"6,233",317,949,
,"3,881",23,698,20.84,472.85,-131.40,75,465.00,475.40,75,"14,700.00",75,134.35,135.90,150,39.95,135.40,25.72,"27,317","1,072","13,471",
,206,-18,206,20.45,433.10,-109.45,150,413.45,441.15,75,"14,750.00",150,144.30,150.00,75,42.05,148.00,25.39,"5,538",-97,641,
,"4,869",-219,"3,047",20.11,395.00,-128.95,150,390.00,396.95,750,"14,800.00",750,160.45,165.00,225,48.00,164.60,25.35,"41,957",-114,"18,110",
,310,28,365,19.95,360.00,-120.05,150,350.00,369.90,75,"14,850.00",225,154.35,195.35,"1,200",51.65,180.10,25.09,"4,287",-266,430,
,"4,996",-564,"5,432",19.71,325.65,-121.50,150,325.05,331.30,75,"14,900.00",225,197.70,197.80,75,56.90,197.70,24.91,"29,201",-202,"7,575",
,408,-136,691,20.09,299.65,-115.50,75,290.00,299.60,750,"14,950.00",225,190.65,235.70,"1,200",60.50,216.55,24.72,"3,945",-194,692,
,"22,440",635,"36,668",20.05,270.90,-108.80,75,268.05,270.95,450,"15,000.00",750,236.05,238.80,75,65.50,238.00,24.65,"84,983",277,"28,954",
,740,186,"2,563",20.23,246.35,-102.40,75,240.10,246.95,750,"15,050.00",150,258.50,260.70,75,69.50,259.35,24.44,"3,743",148,684,
,"8,951","1,212","21,435",20.10,219.95,-94.50,75,215.90,219.95,675,"15,100.00",600,282.50,288.35,75,74.25,282.00,24.22,"31,813",33,"6,790",
,945,75,"3,625",19.85,194.00,-89.60,75,193.00,194.30,75,"15,150.00",75,306.00,326.90,75,83.15,310.00,24.35,"3,357",-248,665,
,"14,444","2,371","42,752",19.70,171.00,-84.50,75,171.00,171.20,75,"15,200.00",750,333.25,340.20,225,90.70,338.50,24.40,"32,820",538,"7,946",
,"1,643",742,"6,335",20.03,154.95,-73.15,225,148.00,154.95,75,"15,250.00",75,360.60,384.45,75,96.15,365.90,24.23,"6,015","1,791","2,022",
,"15,270","4,532","48,928",19.29,129.00,-72.25,75,128.20,131.95,"1,425","15,300.00",750,397.05,407.05,300,104.00,398.00,24.36,"32,099","3,182","5,614",
,"1,400",506,"5,997",19.23,112.20,-65.60,75,112.00,114.05,75,"15,350.00",75,419.45,446.05,75,115.65,430.35,24.38,"1,619",-45,203,
,"19,954","4,634","47,979",19.17,97.00,-57.10,150,96.60,97.50,75,"15,400.00",750,462.55,470.85,150,120.90,468.00,24.80,"11,764","2,012","3,741",
,"1,039",509,"4,903",19.28,84.90,-49.90,75,83.00,86.95,75,"15,450.00",75,489.80,512.50,525,119.10,498.00,24.36,753,261,425,
,"30,030","4,117","86,918",19.20,72.40,-44.65,150,72.00,72.40,75,"15,500.00",75,531.50,546.75,150,130.15,542.00,25.20,"11,754",197,"6,357",
,"1,544",404,"4,871",19.12,61.40,-39.45,225,60.00,64.95,75,"15,550.00",150,571.35,590.05,75,122.45,565.00,23.73,68,3,77,
,"8,992",604,"39,968",18.84,50.25,-35.15,150,50.50,51.50,225,"15,600.00",75,597.50,623.70,75,147.55,622.10,25.84,"1,030",16,708,
,932,354,"4,628",18.90,42.80,-28.95,150,42.00,42.80,"1,425","15,650.00",75,652.95,682.10,75,65.90,646.20,24.15,24,1,129,
,"11,490","1,625","35,415",18.77,35.20,-24.45,900,35.00,35.95,75,"15,700.00",225,697.95,707.15,75,163.00,711.55,27.22,650,-13,443,
,"1,301",121,"4,900",18.87,29.95,-20.40,75,27.00,30.00,75,"15,750.00",75,730.85,755.10,150,-10.80,741.25,25.96,4,-1,3,
,"11,983","2,516","41,583",18.65,23.80,-17.95,75,23.80,25.00,"3,975","15,800.00","1,125",781.95,803.90,"2,250",158.50,793.05,27.36,233,25,290,
,962,432,"4,063",18.79,20.20,-14.55,75,19.50,23.65,"1,200","15,850.00",150,824.65,847.70,150,152.10,832.10,27.05,9,4,9,
,"8,101","1,860","26,762",18.38,15.05,-13.50,150,15.05,17.50,"5,550","15,900.00",75,861.95,894.35,150,154.80,876.85,27.42,61,1,102,
,560,103,"2,216",19.40,15.70,-8.40,75,15.15,15.90,75,"15,950.00",75,919.50,942.55,75,174.10,919.10,27.34,7,4,9,
,"40,362","3,831","57,597",19.73,13.95,-6.45,450,13.65,13.95,"2,925","16,000.00",75,976.00,985.05,300,168.20,975.00,29.30,877,-32,"6,028",
,519,-28,"2,050",19.88,11.90,-5.25,75,11.90,14.20,750,"16,050.00",75,"1,005.85","1,046.40",75,-122.45,"1,022.85",30.02,2,1,1,
,"4,235",-326,"14,053",20.02,10.10,-4.05,300,10.20,10.95,750,"16,100.00",75,"1,065.35","1,087.95",525,100.90,"1,060.80",29.06,16,12,53,
,570,-975,"2,717",20.99,10.65,-1.75,75,8.75,10.65,525,"16,150.00",75,"1,104.60","1,147.30","1,725",-537.20,"1,099.25",27.91,2,1,1,
,"6,359",145,"10,885",20.78,8.30,-2.15,150,8.15,8.55,375,"16,200.00",675,"1,161.40","1,190.15",150,174.80,"1,167.80",32.26,11,2,54,
,77,22,126,21.13,7.50,-1.60,525,6.65,8.30,75,"16,250.00",75,"1,201.40","1,243.95","1,050",-372.85,"1,196.60",29.24,2,1,1,
,"4,253",-216,"6,367",21.35,6.55,-1.75,525,6.50,7.15,600,"16,300.00",525,"1,251.95","1,294.35","1,500",-,"1,149.75",-,-,-,8,
,50,-16,88,22.37,7.15,-0.20,75,5.85,7.25,750,"16,350.00",375,"1,294.70","1,354.20","3,375",-270.45,"1,293.15",30.31,2,1,1,
,908,-165,"2,562",22.48,6.10,-1.35,75,5.65,6.35,750,"16,400.00",150,"1,360.80","1,386.30",75,137.05,"1,365.55",35.77,3,-,11,
,57,-8,29,22.88,5.65,-1.55,600,5.05,6.50,300,"16,450.00",600,"1,393.50","1,474.35","3,450",-65.00,"1,391.15",31.62,2,1,1,
,"18,873",-469,"10,469",23.61,5.75,-1.35,675,5.65,5.80,"4,950","16,500.00",675,"1,461.40","1,475.75",150,174.55,"1,470.00",38.49,357,-153,"3,631",
,129,-8,83,23.77,5.00,-1.55,300,3.80,6.05,750,"16,550.00","3,375","1,484.70","1,600.60","3,375",-,"1,618.75",-,-,-,1,
,"1,689",-59,"1,571",24.08,4.55,-2.25,"1,125",4.50,5.75,675,"16,600.00",75,"1,542.00","1,589.85",75,191.70,"1,553.90",37.18,2,-,10,
,63,-2,46,24.72,4.55,-2.35,"2,250",3.85,5.55,300,"16,650.00","3,375","1,538.75","1,691.10","3,375",-,-,-,-,-,-,
,537,92,848,26.00,5.40,-0.60,75,4.40,5.40,675,"16,700.00",75,"1,642.10","1,687.35",75,-,"1,541.85",-,-,-,5,
,77,4,61,25.73,4.25,-1.30,75,4.20,5.90,750,"16,750.00","3,375","1,658.05","1,787.30","3,375",-,-,-,-,-,-,
,"6,546",-44,"3,156",26.82,4.80,-0.55,900,4.65,5.25,"1,500","16,800.00",75,"1,754.30","1,772.45",150,157.20,"1,748.20",39.42,17,6,294,
